# Arena Level-Up Statistics
# Generated: 2026-06-19T06:44:56.273Z
# XP formula: 80 + 40 × level²
# Avg XP per win: 25.18 (from 146 wins)
# Avg XP per loss: 1 (from 3 losses)
# Actual win rate: 98.0% (149 total fights)
# Blended avg XP/fight: 24.69
# Columns:
#   level              - Player level
#   xpToNext           - XP needed for next level
#   cumulativeXp       - Total XP from level 1 to reach this level
#   estFights_50pct    - Estimated fights at 50% win rate
#   estFights_70pct    - Estimated fights at 70% win rate
#   estFights_90pct    - Estimated fights at 90% win rate
#   estFights_actual   - Estimated fights at actual win rate (98.0%)
#   cumulativeFights   - Total fights from level 1 at 50% win rate
level,xpToNext,cumulativeXp,estFights_50pct,estFights_70pct,estFights_90pct,estFights_actualWinRate,cumulativeFights_50pct
48,92240,1524800,7047,5146,4053,3736,116486
49,96120,1620920,7344,5363,4223,3893,123829
50,100080,1721000,7646,5583,4397,4053,131475
51,104120,1825120,7955,5809,4575,4217,139429
52,108240,1933360,8269,6039,4756,4384,147698
53,112440,2045800,8590,6273,4940,4554,156288
54,116720,2162520,8917,6512,5128,4727,165204
55,121080,2283600,9250,6755,5320,4904,174454
56,125520,2409120,9589,7003,5515,5084,184043
57,130040,2539160,9935,7255,5714,5267,193978
58,134640,2673800,10286,7511,5916,5453,204263
59,139320,2813120,10644,7772,6121,5643,214907
60,144080,2957200,11007,8038,6330,5835,225913
61,148920,3106120,11377,8308,6543,6031,237290
62,153840,3259960,11753,8582,6759,6231,249043
63,158840,3418800,12135,8861,6979,6433,261177
64,163920,3582720,12523,9145,7202,6639,273700
65,169080,3751800,12917,9433,7429,6848,286616
66,174320,3926120,13318,9725,7659,7060,299933
67,179640,4105760,13724,10022,7893,7275,313657
68,185040,4290800,14136,10323,8130,7494,327793
69,190520,4481320,14555,10629,8371,7716,342347
70,196080,4677400,14980,10939,8615,7941,357327
71,201720,4879120,15411,11253,8863,8170,372737
72,207440,5086560,15848,11573,9114,8401,388584
73,213240,5299800,16291,11896,9369,8636,404874
74,219120,5518920,16740,12224,9627,8874,421614
75,225080,5744000,17195,12557,9889,9116,438809
76,231120,5975120,17657,12894,10154,9360,456465
77,237240,6212360,18124,13235,10423,9608,474589
78,243440,6455800,18598,13581,10696,9859,493186
79,249720,6705520,19078,13931,10971,10113,512263
80,256080,6961600,19564,14286,11251,10371,531826
81,262520,7224120,20056,14645,11534,10632,551881
82,269040,7493160,20554,15009,11820,10896,572434
83,275640,7768800,21058,15377,12110,11163,593492
84,282320,8051120,21568,15750,12404,11434,615059
85,289080,8340200,22085,16127,12701,11707,637143
86,295920,8636120,22607,16508,13001,11984,659750
87,302840,8938960,23136,16894,13305,12265,682885
88,309840,9248800,23670,17285,13613,12548,706555
89,316920,9565720,24211,17680,13924,12835,730766
90,324080,9889800,24758,18079,14238,13125,755524
91,331320,10221120,25311,18483,14556,13418,780835
92,338640,10559760,25871,18891,14878,13714,806705
93,346040,10905800,26436,19304,15203,14014,833140
94,353520,11259320,27007,19722,15532,14317,860147
95,361080,11620400,27585,20143,15864,14623,887732
96,368720,11989120,28169,20570,16199,14933,915900
97,376440,12365560,28758,21000,16539,15245,944657
98,384240,12749800,29354,21435,16881,15561,974011
99,392120,13141920,29956,21875,17227,15880,1003967
100,400080,13542000,30564,22319,17577,16203,1034531
101,408120,13950120,31178,22767,17930,16528,1065709
102,416240,14366360,31799,23220,18287,16857,1097507
103,424440,14790800,32425,23678,18647,17189,1129932
104,432720,15223520,33058,24140,19011,17524,1162989
105,441080,15664600,33696,24606,19378,17863,1196685
106,449520,16114120,34341,25077,19749,18205,1231026
107,458040,16572160,34992,25552,20124,18550,1266017
108,466640,17038800,35649,26032,20501,18898,1301666
109,475320,17514120,36312,26516,20883,19250,1337978
110,484080,17998200,36981,27005,21268,19604,1374958
111,492920,18491120,37657,27498,21656,19962,1412615
112,501840,18992960,38338,27996,22048,20324,1450952
113,510840,19503800,39026,28498,22443,20688,1489978
114,519920,20023720,39719,29004,22842,21056,1529696
115,529080,20552800,40419,29515,23245,21427,1570115
116,538320,21091120,41125,30031,23650,21801,1611240
117,547640,21638760,41837,30551,24060,22178,1653076
118,557040,22195800,42555,31075,24473,22559,1695631
119,566520,22762320,43279,31604,24889,22943,1738910
120,576080,23338400,44010,32137,25309,23330,1782919
121,585720,23924120,44746,32675,25733,23720,1827664
122,595440,24519560,45489,33217,26160,24114,1873153
123,605240,25124800,46237,33764,26590,24511,1919389
124,615120,25739920,46992,34315,27024,24911,1966381
125,625080,26365000,47753,34871,27462,25314,2014133
126,635120,27000120,48520,35431,27903,25721,2062653
127,645240,27645360,49293,35995,28348,26131,2111945
128,655440,28300800,50072,36564,28796,26544,2162017
129,665720,28966520,50858,37138,29247,26960,2212874
130,676080,29642600,51649,37716,29703,27380,2264523
131,686520,30329120,52447,38298,30161,27803,2316969
132,697040,31026160,53250,38885,30623,28229,2370219
133,707640,31733800,54060,39476,31089,28658,2424279
134,718320,32452120,54876,40072,31558,29090,2479154
135,729080,33181200,55698,40672,32031,29526,2534852
136,739920,33921120,56526,41277,32507,29965,2591377
137,750840,34671960,57360,41886,32987,30407,2648737
138,761840,35433800,58201,42500,33470,30853,2706937
139,772920,36206720,59047,43118,33957,31301,2765984
140,784080,36990800,59900,43740,34447,31753,2825883
141,795320,37786120,60758,44367,34941,32209,2886641
142,806640,38592760,61623,44999,35439,32667,2948263
143,818040,39410800,62494,45635,35939,33129,3010757
144,829520,40240320,63371,46275,36444,33594,3074127
145,841080,41081400,64254,46920,36952,34062,3138381
146,852720,41934120,65143,47569,37463,34533,3203524
147,864440,42798560,66039,48223,37978,35008,3269562
148,876240,43674800,66940,48881,38496,35486,3336502
149,888120,44562920,67848,49544,39018,35967,3404349
150,900080,45463000,68761,50211,39544,36451,3473110
151,912120,46375120,69681,50883,40073,36939,3542790
152,924240,47299360,70607,51559,40605,37429,3613397
153,936440,48235800,71539,52240,41141,37924,3684936
154,948720,49184520,72477,52925,41680,38421,3757412
155,961080,50145600,73421,53614,42224,38921,3830833
156,973520,51119120,74372,54308,42770,39425,3905204
157,986040,52105160,75328,55007,43320,39932,3980532
158,998640,53103800,76291,55710,43874,40442,4056823
159,1011320,54115120,77259,56417,44431,40956,4134081
160,1024080,55139200,78234,57129,44991,41473,4212315
161,1036920,56176120,79215,57845,45555,41993,4291530
162,1049840,57225960,80202,58566,46123,42516,4371732
163,1062840,58288800,81195,59291,46694,43042,4452926
164,1075920,59364720,82195,60021,47269,43572,4535120
165,1089080,60453800,83200,60755,47847,44105,4618320
166,1102320,61556120,84211,61493,48429,44641,4702531
167,1115640,62671760,85229,62236,49014,45181,4787759
168,1129040,63800800,86253,62984,49602,45723,4874011
169,1142520,64943320,87282,63736,50195,46269,4961293
170,1156080,66099400,88318,64492,50790,46818,5049611
171,1169720,67269120,89360,65253,51390,47371,5138971
172,1183440,68452560,90408,66019,51992,47926,5229379
173,1197240,69649800,91463,66788,52599,48485,5320841
174,1211120,70860920,92523,67563,53208,49047,5413363
175,1225080,72086000,93589,68341,53822,49613,5506952
176,1239120,73325120,94662,69125,54439,50181,5601614
177,1253240,74578360,95741,69912,55059,50753,5697354
178,1267440,75845800,96826,70705,55683,51328,5794179
179,1281720,77127520,97916,71501,56310,51906,5892095
180,1296080,78423600,99013,72302,56941,52488,5991108
181,1310520,79734120,100117,73108,57575,53073,6091224
182,1325040,81059160,101226,73918,58213,53661,6192450
183,1339640,82398800,102341,74732,58855,54252,6294790
184,1354320,83753120,103463,75551,59500,54846,6398253
185,1369080,85122200,104590,76374,60148,55444,6502842
186,1383920,86506120,105724,77202,60800,56045,6608566
187,1398840,87904960,106864,78035,61456,56649,6715429
188,1413840,89318800,108010,78871,62115,57257,6823438
189,1428920,90747720,109162,79713,62777,57868,6932599
190,1444080,92191800,110320,80558,63443,58481,7042919
191,1459320,93651120,111484,81409,64113,59099,7154402
192,1474640,95125760,112654,82263,64786,59719,7267056
193,1490040,96615800,113831,83122,65462,60343,7380887
194,1505520,98121320,115013,83986,66142,60970,7495900
195,1521080,99642400,116202,84854,66826,61600,7612101
196,1536720,101179120,117397,85726,67513,62233,7729498
197,1552440,102731560,118598,86603,68204,62870,7848095
198,1568240,104299800,119805,87485,68898,63510,7967900
199,1584120,105883920,121018,88370,69595,64153,8088917
200,1600080,107484000,122237,89261,70297,64799,8211154
